# Electric potential slice
# Axis: z at index 20
# x(m)	y(m)	V(volts)
-0.125	-0.175	0.0287172
-0.125	-0.15	0.0396242
-0.125	-0.125	0.0519113
-0.125	-0.1	0.0656455
-0.125	-0.075	0.0807012
-0.125	-0.05	0.0961401
-0.125	-0.025	0.109907
-0.125	0	0.125924
-0.125	0.025	0.112404
-0.125	0.05	0.101484
-0.125	0.075	0.0896493
-0.125	0.1	0.0789275
-0.125	0.125	0.0702422
-0.125	0.15	0.0635623
-0.125	0.175	0.0584966
-0.125	0.2	0.0545061
-0.125	0.225	0.0509307
-0.125	0.25	0.0470456
-0.125	0.275	0.0423541
-0.125	0.3	0.0370673
-0.125	0.325	0.0316029
-0.125	0.35	0.0262747
-0.125	0.375	0.0212375
-0.125	0.4	0.0165287
-0.125	0.425	0.0121185
-0.125	0.45	0.00794477
-0.125	0.475	0.00393189
-0.125	0.5	0

-0.1	-0.5	0
-0.1	-0.475	-0.000147102
-0.1	-0.45	-0.00034398
-0.1	-0.425	-0.000641657
-0.1	-0.4	-0.00109089
-0.1	-0.375	-0.00173195
-0.1	-0.35	-0.00256404
-0.1	-0.325	-0.00347128
-0.1	-0.3	-0.00407028
-0.1	-0.275	-0.00346506
-0.1	-0.25	-7.73968e-05
-0.1	-0.225	0.00767316
-0.1	-0.2	0.0187231
-0.1	-0.175	0.0320708
-0.1	-0.15	0.0475275
-0.1	-0.125	0.0656455
-0.1	-0.1	0.0875967
-0.1	-0.075	0.114911
-0.1	-0.05	0.147166
-0.1	-0.025	0.172918
-0.1	0	0.25
-0.1	0.025	0.174846
-0.1	0.05	0.151556
-0.1	0.075	0.12363
-0.1	0.1	0.101786
-0.1	0.125	0.0865949
-0.1	0.15	0.0763863
-0.1	0.175	0.069676
-0.1	0.2	0.0652512
-0.1	0.225	0.061824
-0.1	0.25	0.0577688
-0.1	0.275	0.0516369
-0.1	0.3	0.0443882
-0.1	0.325	0.0370825
-0.1	0.35	0.0302666
-0.1	0.375	0.0240981
-0.1	0.4	0.0185398
-0.1	0.425	0.0134798
-0.1	0.45	0.0087877
-0.1	0.475	0.00433507
-0.1	0.5	0

-0.075	-0.5	0
-0.075	-0.475	-0.000292487
-0.075	-0.45	-0.00067109
-0.075	-0.425	-0.00123344
-0.075	-0.4	-0.00210029
-0.075	-0.375	-0.0034237
-0.075	-0.35	-0.00537825
-0.075	-0.325	-0.00809198
-0.075	-0.3	-0.0113967
-0.075	-0.275	-0.0141324
-0.075	-0.25	-0.0127606
-0.075	-0.225	-0.00122823
-0.075	-0.2	0.0152024
-0.075	-0.175	0.0339338
-0.075	-0.15	0.0551149
-0.075	-0.125	0.0807012
-0.075	-0.1	0.114911
-0.075	-0.075	0.166883
-0.075	-0.05	0.25
-0.075	-0.025	0.25
-0.075	0	0.25
-0.075	0.025	0.25
-0.075	0.05	0.25
-0.075	0.075	0.173355
-0.075	0.1	0.128481
-0.075	0.125	0.103577
-0.075	0.15	0.0893291
-0.075	0.175	0.0814821
-0.075	0.2	0.0778753
-0.075	0.225	0.0765323
-0.075	0.25	0.0739648
-0.075	0.275	0.0648597
-0.075	0.3	0.05383
-0.075	0.325	0.0435057
-0.075	0.35	0.034592
-0.075	0.375	0.0270177
-0.075	0.4	0.0205058
-0.075	0.425	0.0147719
-0.075	0.45	0.00957294
-0.075	0.475	0.00470677
-0.075	0.5	0

-0.05	-0.5	0
-0.05	-0.475	-0.000412611
-0.05	-0.45	-0.000949361
-0.05	-0.425	-0.00176082
-0.05	-0.4	-0.00305862
-0.05	-0.375	-0.00516737
-0.05	-0.35	-0.00860338
-0.05	-0.325	-0.0141654
-0.05	-0.3	-0.0228719
-0.05	-0.275	-0.0348538
-0.05	-0.25	-0.0436641
-0.05	-0.225	-0.020419
-0.05	-0.2	0.00707434
-0.05	-0.175	0.0337268
-0.05	-0.15	0.0617673
-0.05	-0.125	0.0961401
-0.05	-0.1	0.147166
-0.05	-0.075	0.25
-0.05	-0.05	0.25
-0.05	-0.025	0.25
-0.05	0	0.25
-0.05	0.025	0.25
-0.05	0.05	0.25
-0.05	0.075	0.25
-0.05	0.1	0.156251
-0.05	0.125	0.118925
-0.05	0.15	0.101041
-0.05	0.175	0.093267
-0.05	0.2	0.0930105
-0.05	0.225	0.0989264
-0.05	0.25	0.104873
-0.05	0.275	0.0860172
-0.05	0.3	0.0663122
-0.05	0.325	0.0507807
-0.05	0.35	0.0389682
-0.05	0.375	0.0297523
-0.05	0.4	0.022257
-0.05	0.425	0.0158873
-0.05	0.45	0.0102383
-0.05	0.475	0.00501866
-0.05	0.5	0

-0.025	-0.5	0
-0.025	-0.475	-0.000480273
-0.025	-0.45	-0.00111446
-0.025	-0.425	-0.00209802
-0.025	-0.4	-0.00372994
-0.025	-0.375	-0.0065309
-0.025	-0.35	-0.011503
-0.025	-0.325	-0.0207458
-0.025	-0.3	-0.0388999
-0.025	-0.275	-0.0754776
-0.025	-0.25	-0.136201
-0.025	-0.225	-0.0599156
-0.025	-0.2	-0.00645566
-0.025	-0.175	0.0316685
-0.025	-0.15	0.066964
-0.025	-0.125	0.109907
-0.025	-0.1	0.172918
-0.025	-0.075	0.25
-0.025	-0.05	0.25
-0.025	-0.025	0.25
