time,object,x,y,z
0.503765,Sun,-0.176678,-0.0160857,0
0.503765,Earth,-1.14765,-0.026244,0
0.503765,Jupiter,-5.0148,-1.37093,0
0.506502,Sun,-0.17862,-0.0163538,0
0.506502,Earth,-1.14899,-0.0442499,0
0.506502,Jupiter,-5.01276,-1.37819,0
0.50924,Sun,-0.180572,-0.0166248,0
0.50924,Earth,-1.15003,-0.0622522,0
0.50924,Jupiter,-5.01071,-1.38545,0
0.511978,Sun,-0.182534,-0.016899,0
0.511978,Earth,-1.15078,-0.0802453,0
0.511978,Jupiter,-5.00866,-1.3927,0
0.514716,Sun,-0.184508,-0.0171762,0
0.514716,Earth,-1.15122,-0.0982234,0
0.514716,Jupiter,-5.00659,-1.39995,0
0.517454,Sun,-0.186492,-0.0174565,0
0.517454,Earth,-1.15137,-0.116181,0
0.517454,Jupiter,-5.00451,-1.4072,0
0.520192,Sun,-0.188487,-0.0177399,0
0.520192,Earth,-1.15123,-0.134111,0
0.520192,Jupiter,-5.00242,-1.41445,0
0.52293,Sun,-0.190493,-0.0180265,0
0.52293,Earth,-1.15079,-0.15201,0
0.52293,Jupiter,-5.00031,-1.42169,0
0.525667,Sun,-0.19251,-0.0183162,0
0.525667,Earth,-1.15005,-0.16987,0
0.525667,Jupiter,-4.9982,-1.42893,0
0.528405,Sun,-0.194537,-0.018609,0
